date,close,high,low,open,volume
2003-09-29,49.25674057006836,49.319416667751646,49.22299331676765,49.314594580658756,13600
2003-09-30,49.51225662231445,49.53154129274843,49.31459518717207,49.31941727432426,62600
2003-10-01,49.4881477355957,49.53635756693595,49.4640409808384,49.483325649009366,66300
2003-10-02,49.41099548339844,49.48813413488248,49.179586885293006,49.27118443621362,68900
2003-10-03,49.05421829223633,49.1988513653495,49.03011155399352,49.1988513653495,64500
2003-10-06,49.12659454345703,49.169982311226846,48.98196129453836,49.001245972939266,28700
2003-10-07,48.957801818847656,49.145822618986365,48.87584111049657,49.145822618986365,13000
2003-10-08,49.078369140625,49.198895583820864,48.82767207899953,48.92891384990303,42700
2003-10-09,48.904815673828125,48.93374084608058,48.74089778198802,48.88070891150073,35900
2003-10-10,49.1748161315918,49.19892290488796,49.02054234575703,49.02054234575703,13500
2003-10-13,48.957801818847656,49.22295756557482,48.957801818847656,49.174747764185526,23700
2003-10-14,48.861427307128906,48.977131681583685,48.760185519709005,48.90481874640929,54300
2003-10-15,48.74085235595703,48.80834681375888,48.6444327528607,48.7794216684644,23100
2003-10-16,48.6107292175293,48.95784598575602,48.47574018059122,48.880707291405464,62300
2003-10-17,48.84214401245117,48.84214401245117,48.57216590503252,48.71197704728171,55600
2003-10-20,48.81319808959961,48.919261923339214,48.760166172729804,48.760166172729804,12900
2003-10-21,48.9096794128418,49.04467225753971,48.88075421378171,48.88075421378171,49000
2003-10-22,49.12659454345703,49.15069763282594,48.93857352676854,49.0542779189977,25400
2003-10-23,49.00603103637695,49.11209484835902,49.00603103637695,49.09762859185585,20700
2003-10-24,49.24707794189453,49.24707794189453,49.07834175122282,49.07834175122282,28200
2003-10-27,49.150691986083984,49.23265277941576,49.07837904810872,49.19408342704503,35400
2003-10-28,49.34354019165039,49.34354019165039,49.07838414247401,49.07838414247401,16600
2003-10-29,49.12659454345703,49.22301425728528,49.12659454345703,49.213373757172974,71700
2003-10-30,49.12659454345703,49.15551972197024,49.0687405082543,49.073562597398606,17300
2003-10-31,49.04942321777344,49.12656188008897,48.88550907761373,49.12656188008897,31000
2003-11-03,48.96187973022461,49.06831919300521,48.96187973022461,49.02477778979533,56700
2003-11-04,49.058650970458984,49.145737479466,49.058650970458984,49.08283941167134,26900
2003-11-05,49.058650970458984,49.14089831474307,49.058650970458984,49.10703154408485,24600
