date,close,high,low,open,volume
2002-07-30,40.42107009887695,40.59408736469629,40.38646739999535,40.505108457370554,41300
2002-07-31,40.791805267333984,40.82146741036624,40.559475070612315,40.559475070612315,32600
2002-08-01,40.95986557006836,40.97963906886888,40.7917927159686,40.80168135107349,71400
2002-08-02,41.27620315551758,41.37506680421372,40.979608438022694,41.038925118677795,120300
2002-08-05,41.48389434814453,41.48389434814453,41.29110724341359,41.365257000174715,159300
2002-08-06,41.14772415161133,41.281194377561626,41.0439160711004,41.281194377561626,90100
2002-08-07,41.27620315551758,41.35035277774291,41.07847208671884,41.12296336861662,38100
2002-08-08,41.13288497924805,41.226808169419044,41.0735644741806,41.192205484315494,142600
2002-08-09,41.43937683105469,41.46409088451868,41.18726934869426,41.18726934869426,99600
2002-08-12,41.52342987060547,41.66184070008153,41.498712034736634,41.572861770930885,38100
2002-08-13,41.854583740234375,41.88918641121785,41.55304456248915,41.68157038531702,109300
2002-08-14,41.731040954589844,42.13144797196175,41.701382572344436,42.01280690015656,146100
2002-08-15,41.488834381103516,41.68656578821702,41.39985543647309,41.52343709449241,60500
2002-08-16,41.216976165771484,41.656926811478506,41.16259990426477,41.647041932756835,55800
2002-08-19,41.25648498535156,41.28120281636879,41.093356352025474,41.28120281636879,41600
2002-08-20,41.63713836669922,41.63713836669922,41.37514205547499,41.42457774114093,56900
2002-08-21,41.53333282470703,41.54322147192474,41.375148411948715,41.41469545799177,37900
2002-08-22,41.31085968017578,41.42455641870576,41.27625698086863,41.42455641870576,43600
2002-08-23,41.498687744140625,41.523405565541275,41.355336448528995,41.38499481708174,26500
2002-08-26,41.51844787597656,41.62225590388987,41.459131157974,41.48384520000546,27800
2002-08-27,41.394901275634766,41.4888245202584,41.310866673293624,41.39984559677601,38800
2002-08-28,41.548126220703125,41.607442961854275,41.52340839761661,41.567895953479976,40200
2002-08-29,41.74091339111328,41.815059317940964,41.6865371971661,41.80517445150071,101500
2002-08-30,41.81999969482422,41.83977319725115,41.6717040837372,41.81011482931574,28900
2002-09-03,42.276371002197266,42.4598985186484,42.16228315910809,42.20692376006606,110700
2002-09-04,42.261512756347656,42.385519547046314,42.20199191881993,42.241675000096365,77300
2002-09-05,42.43012237548828,42.48468561267136,42.256513795534474,42.459882765085155,57900
2002-09-06,42.10275650024414,42.28628779204254,42.0829149726672,42.20692168173477,32200
2002-09-09,42.043270111083984,42.23672043280287,42.03830877903317,42.132555166060975,88800
2002-09-10,42.192039489746094,42.26644426854996,41.993631792114776,42.018430862126564,21400
2002-09-11,42.03824234008789,42.03824234008789,41.90927440130562,41.9687989386778,77500
2002-09-12,42.25655746459961,42.276399006296714,42.06310716353673,42.06310716353673,39900
2002-09-13,42.45493698120117,42.48470116607776,42.306131194356624,42.35077179509461,125900
2002-09-16,42.46980285644531,42.61860857983818,42.46980285644531,42.51444343814828,108700
2002-09-17,42.60871124267578,42.63847164551601,42.3606977939808,42.3606977939808,30400
2002-09-18,42.6583137512207,42.767440275620764,42.613673146357925,42.618630690641595,76400
2002-09-19,42.87160110473633,42.89144263300495,42.71783399113518,42.86663977657303,61100
2002-09-20,42.8567008972168,42.89638393522824,42.75749330218818,42.80709899189389,128600
2002-09-23,43.099769592285156,43.18409324246493,43.01544594210539,43.094808264514505,293700
2002-09-24,43.2535400390625,43.37754675222998,43.094811597583515,43.18409658243948,158200
2002-09-25,42.92613983154297,43.149350274340016,42.856696414478,43.0055021148819,88900
2002-09-26,42.89637756347656,42.95093700215964,42.68804353705344,42.82197282435275,256100
2002-09-27,43.17913818359375,43.17913818359375,42.91128323433018,42.946004961954095,199400
2002-09-30,43.432106018066406,43.501549468308696,43.30809931629314,43.3527436968113,97200
2002-10-01,43.053009033203125,43.29180334999323,43.053009033203125,43.162458009884936,150100
2002-10-02,43.19725036621094,43.2121745255181,42.973376589910245,43.06790132627483,43000
2002-10-03,43.17239761352539,43.217173911256296,42.99330001373472,43.207221935953214,37500
2002-10-04,43.217185974121094,43.26195848878251,42.86396666360003,42.86893885707294,61400
2002-10-07,43.38634490966797,43.41122106690768,43.256995724045126,43.371420733551616,80300
2002-10-08,43.3067741394043,43.530644507213,43.217225233166616,43.24707360338885,134600
2002-10-09,43.52559280395508,43.52559280395508,43.36639544706411,43.50072047055722,94500
2002-10-10,43.276885986328125,43.51568413624418,43.23211346822577,43.48085980141974,120400
2002-10-11,42.96844482421875,43.167438862942376,42.873919998927434,43.12266634289996,133600
2002-10-14,42.933624267578125,43.082869809759785,42.849047618550024,43.082869809759785,51300
2002-10-15,42.21221160888672,42.575382578035025,42.18733927669784,42.455981719497274,167000
2002-10-16,42.21221160888672,42.3962850857926,42.1923114657971,42.25201189506597,124200
2002-10-17,41.9883918762207,42.05804056257988,41.89884302296336,41.89884302296336,205300
2002-10-18,42.112770080566406,42.14261843667874,41.72969846446858,41.993372860547886,98600
2002-10-21,41.789405822753906,42.13764935304893,41.779457634275396,42.13764935304893,572300
2002-10-22,41.769474029541016,41.87892299779769,41.724701521927074,41.8142503327219,197500
2002-10-23,41.85902786254883,42.038125505626475,41.81425534956311,41.88887620453931,64300
2002-10-24,42.05801773071289,42.1425905474418,41.7495710045898,41.81424746079034,41800
2002-10-25,42.24209213256836,42.26696448148593,42.15254332621824,42.26696448148593,566500
2002-10-28,42.291812896728516,42.39628580304335,42.28683691198088,42.34156135751211,22100
2002-10-29,42.6749153137207,42.83908878532293,42.451045158312134,42.4958176711669,118300
2002-10-30,42.66994094848633,42.77441774025758,42.575419930340594,42.600292284350516,53000
2002-10-31,42.88888168334961,43.13265225088799,42.59038656862916,42.61028674902003,71100
2002-11-01,42.631736755371094,42.811449296097805,42.4769819622683,42.79647388580371,63400
2002-11-04,42.496971130371094,42.496971130371094,42.3372269951494,42.40711481627135,85000
2002-11-05,42.382144927978516,42.432064241837246,42.307264052890666,42.432064241837246,426300
2002-11-06,42.52192306518555,42.75654804376831,42.262340332485316,42.262340332485316,135100
2002-11-07,42.936279296875,42.96623013827635,42.706647292728064,42.771542051964786,68000
2002-11-08,43.041107177734375,43.041107177734375,42.92628928169101,42.97620861573554,27300
2002-11-11,43.150943756103516,43.150943756103516,42.9812134037806,42.9812134037806,52100
2002-11-12,43.016143798828125,43.17588794621863,42.99118603715514,43.16091252749466,48200
2002-11-13,43.06604766845703,43.11597079108053,42.98118445375633,42.996159867103565,330200
2002-11-14,42.526912689208984,42.786495400849084,42.526912689208984,42.76153764875645,71800
2002-11-15,42.556915283203125,42.556915283203125,42.25739523354655,42.382195571620464,40900
2002-11-18,42.596805572509766,42.65171796570624,42.45702995659142,42.496963126425314,35300
2002-11-19,42.631736755371094,42.76651925661675,42.591799788854324,42.74156150899284,11000
2002-11-20,42.39708709716797,42.731550427223866,42.3371816823504,42.72655735717327,251800
2002-11-21,42.152496337890625,42.257327998042896,42.052653941127986,42.21739103933784,95000
2002-11-22,42.10260009765625,42.212424899866946,42.062666922070896,42.207435633294054,144800
2002-11-25,42.03771209716797,42.18747390758452,42.032719021193806,42.182480831610356,49700
2002-11-26,42.4171028137207,42.42209588933268,42.16250927792075,42.20244626561501,103800
2002-11-27,41.93288040161133,42.23739329016826,41.80808016232082,42.21742479484965,324900
2002-11-29,41.99278259277344,42.0127510865253,41.87796470585043,41.917901693354146,15000
2002-12-02,41.97774124145508,42.01792666894245,41.686402640611554,41.691426777120796,78000
2002-12-03,41.972686767578125,42.10328739636884,41.89231980298498,42.10328739636884,38200
2002-12-04,42.11835479736328,42.18365702609709,42.063100834107175,42.163564327432105,135600
2002-12-05,42.23386764526367,42.3041901424576,42.01285189277494,42.01285189277494,194900
2002-12-06,42.4046745300293,42.6055977103694,42.269053586867,42.6055977103694,194800
2002-12-09,42.56537628173828,42.59049309513174,42.39961834311952,42.44482400848254,143900
2002-12-10,42.530250549316406,42.5905286524121,42.46495214518089,42.54531911701761,154600
2002-12-11,42.67087173461914,42.76631105301547,42.59050480777649,42.675895865137036,287200
2002-12-12,42.706031799316406,42.76128573661471,42.605572185476916,42.645757563928164,69800
2002-12-13,42.55037307739258,42.68599794635576,42.480050490631506,42.68599794635576,32400
2002-12-16,42.37456512451172,42.59558115074946,42.359496546776136,42.59055701407313,37600
2002-12-17,42.47496795654297,42.5201774614717,42.389576908918826,42.5201774614717,73700
2002-12-18,42.73617935180664,42.73617935180665,42.615623197827645,42.63571589015748,106600
2002-12-19,42.957210540771484,42.99739594342775,42.74121879185776,42.80149689584215,187800
2002-12-20,42.957210540771484,42.98735150890914,42.88186770115466,42.927073404924755,79900
2002-12-23,42.93205642700195,42.962193533989684,42.8064800381701,42.881826637926665,109300
2002-12-24,43.09281539916992,43.13802108204596,43.087791268087315,43.11290809121122,37400
2002-12-26,43.15810775756836,43.15810775756836,43.04257958479776,43.09783352213626,85200
2002-12-27,43.4142951965332,43.469549147160755,43.273650170313815,43.33392442024238,149600
2002-12-30,43.494693756103516,43.580088726057085,43.40428231549209,43.419350888927326,60700
2002-12-31,43.48255920410156,43.63902451989881,43.44722820212185,43.54312443561513,194300
2003-01-02,42.79613494873047,43.27562777994719,42.77089686254378,43.204965759574016,106700
2003-01-03,42.86675262451172,42.866752624511726,42.70019066988289,42.75066293925266,518400
2003-01-06,42.760772705078125,42.80115207316628,42.65477975193809,42.80115207316628,214500
2003-01-07,42.897098541259766,42.922336638595134,42.740633120000886,42.76082282771058,101700
2003-01-08,42.99800491333008,43.05352559238651,42.962673922184095,42.987908143980235,162600
2003-01-09,42.47810363769531,42.710279112187024,42.42762752737343,42.69008943821559,98000
2003-01-10,42.5235595703125,42.70526292223693,42.40746982016488,42.680024848051524,235800
2003-01-13,42.599300384521484,42.62958301455307,42.4680692363976,42.49835186642918,219700
2003-01-14,42.700233459472656,42.74566124297942,42.66995083766227,42.700233459472656,204500
2003-01-15,42.79613494873047,42.92231767808132,42.76080393854388,42.78099363733497,239000
